,name,category_code,tag_list,offices,zip_code,city,country_code,latitude,longitude
246,Speedchecker,web,"broadband, speed, technology, design, social, news, community","[{'zip_code': 'BS6 6YT', 'city': 'Bristol', 'country_code': 'GBR', 'latitude': 51.4749263, 'longitude': -2.6136797}]",BS6 6YT,Bristol,GBR,51.4749263,-2.6136797
247,Gnodal,network_hosting,"design, infrastructure, systems","[{'zip_code': 'BS8 4RP', 'city': 'Bristol', 'country_code': 'GBR', 'latitude': None, 'longitude': None}, {'zip_code': '94303', 'city': 'Palo Alto', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",94303,Palo Alto,USA,,
248,Mad Mimi,web,"email-marketing-email-marketing, email-newsletters, send-email-newsletter, html-email, send-html-email, email-service-provider, email-design","[{'zip_code': '11215', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 40.66509, 'longitude': -73.980306}]",11215,Brooklyn,USA,40.66509,-73.980306
249,Pond5,ecommerce,"stock-media, marketplace, internet, media-makers, stock-footage, music-tracks, sound-effects, adobe-after-effects-project-templates, 3d-models, photos, illustrations, design, filmmakers, video-editors, production","[{'zip_code': '11201', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 40.7032884, 'longitude': -73.9878525}, {'zip_code': '10003', 'city': 'New York', 'country_code': 'USA', 'latitude': 40.7280992, 'longitude': -73.9933841}]",10003,New York,USA,40.7280992,-73.9933841
250,Pond5,ecommerce,"stock-media, marketplace, internet, media-makers, stock-footage, music-tracks, sound-effects, adobe-after-effects-project-templates, 3d-models, photos, illustrations, design, filmmakers, video-editors, production","[{'zip_code': '11201', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 40.7032884, 'longitude': -73.9878525}, {'zip_code': '10003', 'city': 'New York', 'country_code': 'USA', 'latitude': 40.7280992, 'longitude': -73.9933841}]",10003,New York,USA,40.7280992,-73.9933841
251,Scandia Consulting,consulting,"web-development, web-design, cms, content-management-systems, it-consulting, consulting","[{'zip_code': '06234', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': 41.7913964, 'longitude': -71.9157815}]",06234,Brooklyn,USA,41.7913964,-71.9157815
252,Kickstarter,design,"crowdfunding, funding, entrepreneurship, crowdsourcing","[{'zip_code': '11222', 'city': 'Brooklyn', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",11222,Brooklyn,USA,,
253,Websiteprojects,web,"web-design, cms, usability, european, european-affairs","[{'zip_code': '1000', 'city': 'Brussels', 'country_code': 'BEL', 'latitude': 50.8388386, 'longitude': 4.3659553}]",1000,Brussels,BEL,50.8388386,4.3659553
254,Netboot,advertising,"web-design, e-commerce, development, creative-services, seo, web-strategy","[{'zip_code': '', 'city': 'Bucharest', 'country_code': 'ROM', 'latitude': 44.4479237, 'longitude': 26.097879}]",,Bucharest,ROM,44.4479237,26.097879
255,Making Sense,software,"custom-software-development, email-marketing, hispanic, latin-america, email-marketing-full-service, email-marketing-self-service, argentina, it, outsourcing, neashore, html5, ux, ui, application-architecture--design, development, qa, implementation, main","[{'zip_code': '78205', 'city': 'San Antonio', 'country_code': 'USA', 'latitude': 29.516352, 'longitude': -98.43676}, {'zip_code': '1414', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': -34.5892808, 'longitude': -58.43297}, {'zip_code': '7600', 'city': 'Mar del Plata', 'country_code': 'ARG', 'latitude': -38.0060917, 'longitude': -57.5582444}]",7600,Mar del Plata,ARG,-38.0060917,-57.5582444
256,Popego,advertising,"techcrunch50, tc50, web-service, interests, semantic, aggregator, artificial-intelligence, ai, design, interfaces","[{'zip_code': '1414BHH', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}, {'zip_code': '94102', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.778687, 'longitude': -122.421242}]",94102,San Francisco,USA,37.778687,-122.421242
257,Popego,advertising,"techcrunch50, tc50, web-service, interests, semantic, aggregator, artificial-intelligence, ai, design, interfaces","[{'zip_code': '1414BHH', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}, {'zip_code': '94102', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.778687, 'longitude': -122.421242}]",94102,San Francisco,USA,37.778687,-122.421242
258,DreamDesigners,public_relations,"web-2-0, web-services, generator-of-ideas, content-producer, community-creators","[{'zip_code': '1425', 'city': 'Buenos Aires', 'country_code': 'ARG', 'latitude': -37.9951718, 'longitude': -57.560505}]",1425,Buenos Aires,ARG,-37.9951718,-57.560505
259,PLAVEB Corporation,consulting,"web-design, website-development, ecommerce, shopping-carts, web-application-development, rich-internet-applications, seo, ppc-management, mobile-website, iphone-applications-development","[{'zip_code': '91506', 'city': 'Burbank', 'country_code': 'USA', 'latitude': 34.1676412, 'longitude': -118.3227223}, {'zip_code': '95134', 'city': 'San Jose', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",95134,San Jose,USA,,
260,OE Design,web,"web-design, web-development, web-designers, website-editors, social-media, content-management-system, e-commerce, shopping-cart, logo, flash, graphic-design, gold-coast, queensland, australia, brisbane","[{'zip_code': '4220', 'city': 'Burleigh Heads', 'country_code': 'AUS', 'latitude': -28.085945, 'longitude': 153.390945}]",4220,Burleigh Heads,AUS,-28.085945,153.390945
261,Kalexo,software,"design, architecture, engineering, integrated-project-delivery, project-based-industries","[{'zip_code': '94010', 'city': 'Burlingame', 'country_code': 'USA', 'latitude': 37.589692, 'longitude': -122.340723}]",94010,Burlingame,USA,37.589692,-122.340723
262,Union Street Media,ecommerce,"web-design, real-estate, ecommerce","[{'zip_code': '05401', 'city': 'Burlington', 'country_code': 'USA', 'latitude': 44.468055, 'longitude': -73.207641}]",05401,Burlington,USA,44.468055,-73.207641
263,Optiant,network_hosting,,"[{'zip_code': '01803', 'city': 'Burlington', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",01803,Burlington,USA,,
264,Propeller Media Works,advertising,"web-design, online-marketing, application-development, social-marketing, facebook-applications","[{'zip_code': '05401', 'city': 'Burlington', 'country_code': 'USA', 'latitude': 44.455806, 'longitude': -73.217971}]",05401,Burlington,USA,44.455806,-73.217971
265,inQbation,web,"social-media, search-engine-optimization, seo, web-design, web-development, internet-marketing, washington-dc, mobile-ui-design","[{'zip_code': '20170', 'city': 'Herndon', 'country_code': 'USA', 'latitude': 38.9552797, 'longitude': -77.3381855}, {'zip_code': '', 'city': 'Cali', 'country_code': 'COL', 'latitude': 3.4233155, 'longitude': -76.5245361}]",,Cali,COL,3.4233155,-76.5245361
266,IDEO,consulting,"innovation, design, consultant, product-development, service-development, interaction-design, experience-design, design-thinking","[{'zip_code': '94301', 'city': 'Palo Alto', 'country_code': 'USA', 'latitude': 37.441971, 'longitude': -122.161151}, {'zip_code': '02139', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.363936, 'longitude': -71.101238}, {'zip_code': '94105', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': None, 'longitude': None}, {'zip_code': 'EC1R 5DF', 'city': 'London', 'country_code': 'GBR', 'latitude': 51.522272, 'longitude': -0.109804}, {'zip_code': '60201', 'city': 'Evanston', 'country_code': 'USA', 'latitude': 42.046475, 'longitude': -87.680813}, {'zip_code': '81667', 'city': 'Munich', 'country_code': 'DEU', 'latitude': 48.136592, 'longitude': 11.580102}, {'zip_code': '10013', 'city': 'New York', 'country_code': 'USA', 'latitude': 40.721026, 'longitude': -74.001614}, {'zip_code': '200020', 'city': 'Shanghai', 'country_code': 'CHN', 'latitude': None, 'longitude': None}]",200020,Shanghai,CHN,,
267,Growth Spark,software,"wordpress, web-design, web-marketing, seo, usability-testing, conversion-optimization","[{'zip_code': '02141', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",02141,Cambridge,USA,,
268,Litmus,software,"email-marketing, design, web-design, testing, qa","[{'zip_code': '02139', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",02139,Cambridge,USA,,
269,Monderer Design,public_relations,"design, website, branding, marketing, communications","[{'zip_code': '02140', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.3912548, 'longitude': -71.1228802}]",02140,Cambridge,USA,42.3912548,-71.1228802
270,Above the Fold,other,"user-experience-design, usability, web-design, web-strategy, web-designs, site-redesign, web-presence, information-architecture, ia, user-experience, ui-design, ui-consulting, user-interface-design, user-interface-consulting, gui-design, graphical-user-in","[{'zip_code': '02139', 'city': 'Cambridge', 'country_code': 'USA', 'latitude': 42.357489, 'longitude': -71.055591}]",02139,Cambridge,USA,42.357489,-71.055591
271,Springleap,advertising,"springleap, social-media, crowdsourcing, apparel, merchandise, campaigns, community, team-building, design, design-contests, design-competitions, brand, marketing, social-media-marketing, brands, creative-crowdsourcing","[{'zip_code': '8005', 'city': 'Cape Town', 'country_code': 'ZAF', 'latitude': None, 'longitude': None}]",8005,Cape Town,ZAF,,
272,SpinningYourWeb International,web,"web, web-solutions, web-development, website, website-design, application-development, applications, development, south-africa, australia","[{'zip_code': '7975', 'city': 'Cape Town', 'country_code': 'ZAF', 'latitude': None, 'longitude': None}]",7975,Cape Town,ZAF,,
273,SG2,advertising,"fantasy, games, designe, agency, advertising","[{'zip_code': '1009', 'city': 'Capital Federal', 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",1009,Capital Federal,ARG,,
274,SG2,advertising,"fantasy, games, designe, agency, advertising","[{'zip_code': '1009', 'city': 'Capital Federal', 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",1009,Capital Federal,ARG,,
275,Servicios Netosfera,software,"website, web-site, ecommerce, e-commerce, database, hosting, development, design, internet, software, custom, web","[{'zip_code': '1080', 'city': 'Caracas', 'country_code': 'VEN', 'latitude': None, 'longitude': None}]",1080,Caracas,VEN,,
276,Box UK,software,"content-management-systems, software-development, web-content-solutions, website-development, user-experience, bespoke-development, analytics, design, information-architecture, seo, social-media-marketing, ppc, web, web-development, search, consulting, si","[{'zip_code': 'W1B 4BD', 'city': 'London', 'country_code': 'GBR', 'latitude': 51.5107737, 'longitude': -0.1392447}, {'zip_code': 'CF10 1DD', 'city': 'Cardiff', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",CF10 1DD,Cardiff,GBR,,
277,Valuebound,ecommerce,"web-site-design-bangalore, website-design-bangalore, website-designers-bangalore, website-design-company, professional-website-design-bangalore, web-site-design-chicago, custom-web-site-design-chicago, specialize-in-professional-web-design, e-commerce-web","[{'zip_code': '60544', 'city': 'Plainfield', 'country_code': 'USA', 'latitude': 41.612901, 'longitude': -88.231265}, {'zip_code': '0724', 'city': 'Fortlee', 'country_code': 'USA', 'latitude': 40.845317, 'longitude': -73.980468}, {'zip_code': 'CF14 3JX', 'city': 'Cardiff', 'country_code': 'GBR', 'latitude': 51.5025565, 'longitude': -3.1932605}]",CF14 3JX,Cardiff,GBR,51.5025565,-3.1932605
278,WebpageFX,advertising,"web-design-company, seo-company, web-development-company","[{'zip_code': '17013', 'city': 'Carlisle', 'country_code': 'USA', 'latitude': 40.207431, 'longitude': -77.199558}]",17013,Carlisle,USA,40.207431,-77.199558
279,BrightQube,ecommerce,"brightqube, photography, photo, photos, images, stock, e-commerce, ecommerce, sales, online, search, creative, design, ui, mosaic, marketplace, metadata, imaging, digital, agencies, web","[{'zip_code': '92009', 'city': 'Carlsbad', 'country_code': 'USA', 'latitude': 33.09568, 'longitude': -117.244034}]",92009,Carlsbad,USA,33.09568,-117.244034
280,Vivid Web Graphics,web,"san-diego-web-design, web-design-san-diego","[{'zip_code': '92009', 'city': 'Carlsbad', 'country_code': 'USA', 'latitude': 33.104772, 'longitude': -117.257003}]",92009,Carlsbad,USA,33.104772,-117.257003
281,Top Rated Website Designers,ecommerce,"shopsite, website-design, project-manageement, excel-west-com, website-engineering, top-rated-website-designers, search-engine-programming, office-on-the-internet, optmization-and-submission, san-diego, los-angeles, carlsbad","[{'zip_code': '92008', 'city': 'Carlsbad', 'country_code': 'USA', 'latitude': 33.1412124, 'longitude': -117.3205123}, {'zip_code': '90230', 'city': 'Los Angeles', 'country_code': 'USA', 'latitude': 33.9933257, 'longitude': -118.3987842}, {'zip_code': '92008', 'city': 'San Diego', 'country_code': 'USA', 'latitude': 33.1412124, 'longitude': -117.3205123}]",92008,San Diego,USA,33.1412124,-117.3205123
282,Reverb Studios,web,"multimedia-design, web2ireland, web-design, graphic-design, photo-restoration","[{'zip_code': 'Leitrim', 'city': 'Carrick-on-Shannon', 'country_code': 'IRL', 'latitude': None, 'longitude': None}]",Leitrim,Carrick-on-Shannon,IRL,,
283,Magic Logix,advertising,"web-designers, web-designer, website-design, web-design, graphic-design, usability, online-marketing, search-engine-marketing, logo-design, web-development, ecommerce, dallas-seo, texas-seo, dallas, texas, internet-marketing, seo","[{'zip_code': '75006', 'city': 'Carrollton', 'country_code': 'USA', 'latitude': 32.976452, 'longitude': -96.843958}]",75006,Carrollton,USA,32.976452,-96.843958
284,Irish Web Developers,ecommerce,"website-design, ecommerce, content-management-systems, seo, internet-marketing, flash","[{'zip_code': 'none', 'city': 'Cavan', 'country_code': 'IRL', 'latitude': None, 'longitude': None}]",none,Cavan,IRL,,
285,Multiso Multimedia Solutions,games_video,"multimedia, sound, design, sound-engineer, sound-design, interactive-design","[{'zip_code': '3000', 'city': 'Celje', 'country_code': 'SVN', 'latitude': 46.2347396, 'longitude': 15.2591055}]",3000,Celje,SVN,46.2347396,15.2591055
286,AsturTrade,public_relations,"graphics-design, web-design, programming, develop, intranets, internet, php","[{'zip_code': '28226', 'city': 'Charlotte', 'country_code': 'USA', 'latitude': 35.088188, 'longitude': -80.8686385}]",28226,Charlotte,USA,35.088188,-80.8686385
287,Episode XI Studios,photo_video,"video-production-charlotte, nc, north-carolina, commercial-photography, 3d-designs","[{'zip_code': '28273', 'city': 'Charlotte', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",28273,Charlotte,USA,,
288,Easy! Designs,web,"web-design, consulting","[{'zip_code': '37405', 'city': 'Chattanooga', 'country_code': 'USA', 'latitude': 35.1503998, 'longitude': -85.4169211}]",37405,Chattanooga,USA,35.1503998,-85.4169211
289,EasyLink,network_hosting,"easylink, india, web-design, web-application-development, web-hosting","[{'zip_code': '600028', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600028,Chennai,IND,,
290,Bonsource Technology,other,"structural-engineering, cad-design, reverse-engineering, software-development","[{'zip_code': '600020', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600020,Chennai,IND,,
291,Anubavam,enterprise,"offshore, outsource, outsourcing, web-development, crm, small-business, software-company, web-design, mobile-page-design, small-business-solutions, seo, sem, online-marketing, ajax","[{'zip_code': '78209', 'city': 'San Antonio', 'country_code': 'USA', 'latitude': 29.743772, 'longitude': -98.692465}, {'zip_code': '600087', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600087,Chennai,IND,,
292,Dot Com Infoway France,advertising,"software, web-development, wed-design, internet-marketing, seo, sem, search-engine-marketing, web2-0","[{'zip_code': '600 102', 'city': 'Chennai', 'country_code': 'IND', 'latitude': 13.11352, 'longitude': 80.152135}]",600 102,Chennai,IND,13.11352,80.152135
293,Agriya,software,"agriya, history-of-agriya, clone-script-developer, web-development, web-design-services, agriya-software, clone-scripts-php, web-development-company","[{'zip_code': '600034', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600034,Chennai,IND,,
294,SNR Technologies,web,"web-consulting, web-design, web-development, twitter-applications","[{'zip_code': '600010', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600010,Chennai,IND,,
295,Acanthus Infotech,web,"web-design, web-development, web-services, web-maintenance, web-hosting, outsourcing","[{'zip_code': '600044', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",600044,Chennai,IND,,
296,Steppy Frog Design Studio,ecommerce,"web-design-company, graphic-design-company, web-design-company-chennai, graphic-design-company-chennai, web-design-company-india, graphic-design-company-india","[{'zip_code': '600040', 'city': 'Chennai', 'country_code': 'IND', 'latitude': 13.1115592, 'longitude': 80.226749}]",600040,Chennai,IND,13.1115592,80.226749
297,Cogzidel Technologies,software,"web-design-company, web-development-india, seo-company-india, offshore-staffing-india, free-open-source-social-networking-software","[{'zip_code': '600116', 'city': 'Chennai', 'country_code': 'IND', 'latitude': None, 'longitude': None}, {'zip_code': '625001', 'city': 'Madurai', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",625001,Madurai,IND,,
298,crowdSPRING,ecommerce,,"[{'zip_code': '60607', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.88583, 'longitude': -87.657354}]",60607,Chicago,USA,41.88583,-87.657354
299,Acquity Group,ecommerce,"web-strategy, technology, user-experience, graphic-design","[{'zip_code': '60606', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.881876, 'longitude': -87.639713}]",60606,Chicago,USA,41.881876,-87.639713
300,Ocean Online Group,web,"web-design-company, web-design-firm, chicago-web-design","[{'zip_code': '60601', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.886088, 'longitude': -87.624983}]",60601,Chicago,USA,41.886088,-87.624983
301,Mightybytes,games_video,"design, media, web, flash, video, interactive, chicago","[{'zip_code': '60640', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.977257, 'longitude': -87.668365}]",60640,Chicago,USA,41.977257,-87.668365
302,Digital Stampede,web,"crowd-funding, fashion, design, t-shirt, tshirt, clothing, crowdfunding, crowd-sourcing, crowdsourcing","[{'zip_code': '60625', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.972002, 'longitude': -87.703656}]",60625,Chicago,USA,41.972002,-87.703656
303,InoPrints,public_relations,"printing, business-card, flyer-printing, cd-duplication, graphic-design, poster-printing, sticker-printing, postcard-printing, tshirt-printing","[{'zip_code': '60642', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.975543, 'longitude': -87.715498}]",60642,Chicago,USA,41.975543,-87.715498
304,BAM Studios,games_video,"audio, adr, voice-over, sound-design, sweetening, surround-sound, digital-patch","[{'zip_code': '60611', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.893622, 'longitude': -87.627423}]",60611,Chicago,USA,41.893622,-87.627423
305,Blueprint Design Studio,public_relations,"blueprint, design, studio, chicago-website-design, web, website","[{'zip_code': '60611', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.886511, 'longitude': -87.626777}]",60611,Chicago,USA,41.886511,-87.626777
306,doejo,software,"business-consulting, ecommerce, viral-social-marketing, branding-identity, search-engine-optimization, web-design-development, strategy","[{'zip_code': '60657', 'city': 'Chicago', 'country_code': 'USA', 'latitude': 41.951198, 'longitude': -87.649563}]",60657,Chicago,USA,41.951198,-87.649563
307,Melinta,biotech,,"[{'zip_code': '06511-6663', 'city': 'New Haven', 'country_code': 'USA', 'latitude': 41.305179, 'longitude': -72.93117}, {'zip_code': '', 'city': 'Chicago', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",,Chicago,USA,,
308,Threadless,ecommerce,,"[{'zip_code': '60607', 'city': 'Chicago', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",60607,Chicago,USA,,
309,Designkitchen,,,"[{'zip_code': '60607', 'city': 'Chicago', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",60607,Chicago,USA,,
310,Design by Humans,web,"fashion, design, shirts, style, mens, art","[{'zip_code': '95928', 'city': 'Chico', 'country_code': 'USA', 'latitude': 39.7324184, 'longitude': -121.8211856}]",95928,Chico,USA,39.7324184,-121.8211856
311,Ample,public_relations,"sharethis, iphone, widget, design, rubyonrails, rails, website, wordpress","[{'zip_code': '45202', 'city': 'Cincinnati', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",45202,Cincinnati,USA,,
312,Duck On Water,advertising,"web-designers, web-design, web-design-gloucestershire, web-marketing, seo, websites, web-designers-gloucestershire","[{'zip_code': 'GL7 1EH', 'city': 'Cirencester', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",GL7 1EH,Cirencester,GBR,,
313,Virtual trip,consulting,"digital-branding, latin-america, south-america, branding, design, interactive","[{'zip_code': '1425', 'city': 'Ciudad de Buenos Aires', 'country_code': 'ARG', 'latitude': None, 'longitude': None}]",1425,Ciudad de Buenos Aires,ARG,,
314,CreationFlow,games_video,"video, image, reviews, online, collaboration, design-review, design-feedback, visual-feedback","[{'zip_code': '1414', 'city': 'Ciudad de Buenos Aires', 'country_code': 'ARG', 'latitude': -34.6028583, 'longitude': -58.4339539}]",1414,Ciudad de Buenos Aires,ARG,-34.6028583,-58.4339539
315,McIntyre Media,advertising,"seo-marketing, cleveland-web-design, internet-marketing-coach","[{'zip_code': '44146', 'city': 'Cleveland', 'country_code': 'USA', 'latitude': 41.390918, 'longitude': -81.554755}]",44146,Cleveland,USA,41.390918,-81.554755
316,Adorn Technologies,web,"web-design, web-development, offshore-web-design, offshore-web-development, outsource-web-design, outsource-web-development, custom-web-design, contract-web-development","[{'zip_code': '641030', 'city': 'Coimbatore', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",641030,Coimbatore,IND,,
317,HTSuite,advertising,"website-designing--website-development-company-in-india-outsource-web-design, website-development-and-search-engine-optimization-","[{'zip_code': '641002', 'city': 'Coimbatore , Tamilnadu', 'country_code': 'IND', 'latitude': None, 'longitude': None}]",641002,"Coimbatore , Tamilnadu",IND,,
318,Tangivel,other,"usability, usability-studies, usability-testing, interaction, ux, user-interface-design, user-centered-design, hci, user-profiling, task-analysis, prototyping, heuristic-evaluation, user-testing, quantitative-analysis, accessibility-evaluation-guidelines,","[{'zip_code': '3030-199 Coimbra', 'city': 'Coimbra', 'country_code': 'PRT', 'latitude': 40.19266, 'longitude': -8.418228}, {'zip_code': '3500-618 Viseu', 'city': 'Viseu', 'country_code': 'PRT', 'latitude': None, 'longitude': None}]",3500-618 Viseu,Viseu,PRT,,
319,Vesess,web,"web-apps, web-standards, designs, developments, consultancy","[{'zip_code': '00700', 'city': 'Colombo', 'country_code': 'LKA', 'latitude': None, 'longitude': None}, {'zip_code': '89108', 'city': 'Las Vegas', 'country_code': 'USA', 'latitude': 36.18854, 'longitude': -115.214015}]",89108,Las Vegas,USA,36.18854,-115.214015
320,Period Three,advertising,"website-design, email-marketing-software, content-management-software, web-based-software","[{'zip_code': '29210', 'city': 'Columbia', 'country_code': 'USA', 'latitude': 34.001767, 'longitude': -81.038477}]",29210,Columbia,USA,34.001767,-81.038477
321,Hayen Company,games_video,"social-media, internet-marketing, south-carolina, advertising, graphic-design, promotional-material, logos, art, public-relations, internet-identity, website, online-communities, tools, blogging, profiles","[{'zip_code': '29204', 'city': 'Columbia', 'country_code': 'USA', 'latitude': 34.019114, 'longitude': -81.004871}]",29204,Columbia,USA,34.019114,-81.004871
322,Catalyst Advertising,advertising,"advertising, marketing, social-media, pr, columbia-sc, hayen, burlison, catalyst, media-placement, database-development, logos, direct-mail, search-engine-optimization, seo, web-ad-design, e-commerce","[{'zip_code': '29229', 'city': 'Columbia', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",29229,Columbia,USA,,
323,SpaceClaim,software,,"[{'zip_code': '01742', 'city': 'Concord', 'country_code': 'USA', 'latitude': 42.462373, 'longitude': -71.387308}]",01742,Concord,USA,42.462373,-71.387308
324,Teklatech,semiconductor,not-at-dac-2012----going-bust,"[{'zip_code': 'DK-1300', 'city': 'Copenhagen', 'country_code': 'DNK', 'latitude': None, 'longitude': None}]",DK-1300,Copenhagen,DNK,,
325,Sitemasher,enterprise,"website-design-and-management-platform, saas","[{'zip_code': 'V5Y1J5', 'city': 'Vancouver', 'country_code': 'CAN', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Coral Gables', 'country_code': 'USA', 'latitude': 25.705057, 'longitude': -80.271378}]",,Coral Gables,USA,25.705057,-80.271378
326,AW CompuTech,software,"web-design, software-engineering, it-support","[{'zip_code': 'CV1 9FN', 'city': 'Coventry', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",CV1 9FN,Coventry,GBR,,
327,Rui Peixeiro,web,"webdesign, webdeveloper, html, criao-sites","[{'zip_code': '6200', 'city': 'Covilḥ', 'country_code': 'PRT', 'latitude': 40.29416, 'longitude': -7.469215}]",6200,Covilḥ,PRT,40.29416,-7.469215
328,Ray Websmith,web,chicago-web-design,"[{'zip_code': '60012', 'city': 'Crystal Lake', 'country_code': 'USA', 'latitude': 42.2796339, 'longitude': -88.3339768}]",60012,Crystal Lake,USA,42.2796339,-88.3339768
329,ExpertsYard,ecommerce,"website-design, web-site-re-design, hosting, web-design, web-page-designer, graphic-website-design, ecommerce, e-commerce, flash, flash-animation, flash-design, cheap, low-cost, corporate-identity","[{'zip_code': '75201', 'city': 'Dallas', 'country_code': 'USA', 'latitude': 32.789215, 'longitude': -96.788551}]",75201,Dallas,USA,32.789215,-96.788551
330,Exfront Technologies,consulting,"computers, technology, internet, world-wide-web, web-hosting, web-design, graphic-design, information-technology","[{'zip_code': '75220-5233', 'city': 'Dallas', 'country_code': 'USA', 'latitude': 32.864024, 'longitude': -96.662332}]",75220-5233,Dallas,USA,32.864024,-96.662332
331,WebMedic,web,"cms, content-management, website, blog, webdesign, smb, small-business, webservice","[{'zip_code': '2628 EB', 'city': 'Delft', 'country_code': 'NLD', 'latitude': 52.004819, 'longitude': 4.35927}]",2628 EB,Delft,NLD,52.004819,4.35927
332,Insyde,advertising,"webdesign, seo, sea, website-design, web-design, search-engine-optimization, search-engine-marketing, graphic-design, php, mysql, english-dutch-translation-service","[{'zip_code': '2613 EM', 'city': 'Delft', 'country_code': 'NLD', 'latitude': 52.0112727, 'longitude': 4.3532861}]",2613 EM,Delft,NLD,52.0112727,4.3532861
333,Insyde,advertising,"webdesign, seo, sea, website-design, web-design, search-engine-optimization, search-engine-marketing, graphic-design, php, mysql, english-dutch-translation-service","[{'zip_code': '2613 EM', 'city': 'Delft', 'country_code': 'NLD', 'latitude': 52.0112727, 'longitude': 4.3532861}]",2613 EM,Delft,NLD,52.0112727,4.3532861
334,MAG STUDIOS,software,"website-design, software-development, web-development","[{'zip_code': '', 'city': 'Delhi', 'country_code': 'IND', 'latitude': 28.635308, 'longitude': 77.22496}]",,Delhi,IND,28.635308,77.22496
335,EffectiveUI,software,"user-experience, ux, mobile-applications, ria, rich-internet-applications, web-2-0, desktop-applications, emerging-technology, innovative, experience-design, user-interface, effectiveui","[{'zip_code': '80205', 'city': 'Denver', 'country_code': 'USA', 'latitude': 39.755152, 'longitude': -104.990968}, {'zip_code': '14614', 'city': 'Rochester', 'country_code': 'USA', 'latitude': 43.158821, 'longitude': -77.585297}]",14614,Rochester,USA,43.158821,-77.585297
336,Ceylon Solutions,software,"web-development, application-development, software-development, custom-application-development, web, design, development, dedicated-teams, software-developers, outsourcing","[{'zip_code': '80123', 'city': 'Denver', 'country_code': 'USA', 'latitude': 39.62574, 'longitude': -105.092372}, {'zip_code': '', 'city': 'Jayanthipura, Battaramulla', 'country_code': 'LKA', 'latitude': None, 'longitude': None}]",,"Jayanthipura, Battaramulla",LKA,,
337,Test of Time Design,other,"graphic-design, layout, information-architect, logo, packaging, brochures, practical-design","[{'zip_code': '50317', 'city': 'Des Moines', 'country_code': 'USA', 'latitude': 41.615468, 'longitude': -93.564954}]",50317,Des Moines,USA,41.615468,-93.564954
338,BitMethod,mobile,"ios, android, mobile-apps, mobile-design, mobile-ux, mobile-consulting","[{'zip_code': '50309', 'city': 'Des Moines', 'country_code': 'USA', 'latitude': 41.581232, 'longitude': -93.621998}]",50309,Des Moines,USA,41.581232,-93.621998
