,name,category_code,tag_list,total_money_raised,offices,zip_code,city,country_code,latitude,longitude
112,TechnologyGuide,web,,,"[{'zip_code': '45230', 'city': 'Cincinnati', 'country_code': 'USA', 'latitude': 39.06685, 'longitude': -84.351532}]",45230,Cincinnati,USA,39.06685,-84.351532
113,TechColumbus,enterprise,,,"[{'zip_code': '43212', 'city': 'Columbus', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",43212,Columbus,USA,,
114,Prevail Resources,consulting,"field-services, break-fix-services, technical-fix, computer-repair, desktop-support, it-staffing, it-consulting, dell-repair, ibm-repair, sony-repair, lexmark-repair, pc-repair, laptop-repair, notebook-repair, printer-repair",,"[{'zip_code': '75287', 'city': 'Dallas', 'country_code': 'USA', 'latitude': 32.999125, 'longitude': -96.828329}]",75287,Dallas,USA,32.999125,-96.828329
115,Connective Logic,software,"techcrunch50, tc50, multicore, software-development-tools, multithreading",,"[{'zip_code': 'DT1 3WB', 'city': 'Dorchester', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",DT1 3WB,Dorchester,GBR,,
116,Connective Logic,software,"techcrunch50, tc50, multicore, software-development-tools, multithreading",,"[{'zip_code': 'DT1 3WB', 'city': 'Dorchester', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",DT1 3WB,Dorchester,GBR,,
117,Gamervision,games_video,,10000000.0,"[{'zip_code': '18902', 'city': 'Doylestown', 'country_code': 'USA', 'latitude': 40.3321202, 'longitude': -75.1184485}]",18902,Doylestown,USA,40.3321202,-75.1184485
118,Dropbox,software,"techcrunch50, tc50, file-storage",257000000.0,"[{'zip_code': '94107', 'city': 'San Francisco', 'country_code': 'USA', 'latitude': 37.7909427, 'longitude': -122.4084994}, {'zip_code': '', 'city': 'Dublin', 'country_code': 'IRL', 'latitude': None, 'longitude': None}]",,Dublin,IRL,,
119,Nedforce,software,"ruby-on-rails, rails, development, hosting, ruby, jruby, developers, enterprise, content-management-system, cms, web-content-management",,"[{'zip_code': '7521BE', 'city': 'Enschede', 'country_code': 'NLD', 'latitude': 52.2227273, 'longitude': 6.8719412}]",7521BE,Enschede,NLD,52.2227273,6.8719412
120,Nedforce,software,"ruby-on-rails, rails, development, hosting, ruby, jruby, developers, enterprise, content-management-system, cms, web-content-management",,"[{'zip_code': '7521BE', 'city': 'Enschede', 'country_code': 'NLD', 'latitude': 52.2227273, 'longitude': 6.8719412}]",7521BE,Enschede,NLD,52.2227273,6.8719412
121,ExecutiveBrief,public_relations,"it, technology-management, software-project-management, process-improvement, cmmi, leadership, software-development, outsourcing",,"[{'zip_code': '', 'city': 'Fort Myers', 'country_code': 'USA', 'latitude': 26.62314, 'longitude': -81.839789}]",,Fort Myers,USA,26.62314,-81.839789
122,LiveHit,search,"techcrunch50, tc50, social-discovery, realtime-data-analytics, social-search, search, discovery, millennial, youth",,"[{'zip_code': '94404', 'city': 'Foster City', 'country_code': 'USA', 'latitude': 37.445381, 'longitude': -122.160753}]",94404,Foster City,USA,37.445381,-122.160753
123,Burt,advertising,"techcrunch50, tc50, advertising, reactive-advertising, creativity, copybox, semantic, agency, rich, demo",3500000.0,"[{'zip_code': '41125', 'city': 'Gothenburg', 'country_code': 'SWE', 'latitude': 59.337864, 'longitude': 18.036587}]",41125,Gothenburg,SWE,59.337864,18.036587
124,Burt,advertising,"techcrunch50, tc50, advertising, reactive-advertising, creativity, copybox, semantic, agency, rich, demo",3500000.0,"[{'zip_code': '41125', 'city': 'Gothenburg', 'country_code': 'SWE', 'latitude': 59.337864, 'longitude': 18.036587}]",41125,Gothenburg,SWE,59.337864,18.036587
125,Iteego,consulting,"tech-recruiter, technical-recruiter, los-angeles, southern-california",,"[{'zip_code': '', 'city': 'Los Angeles', 'country_code': 'USA', 'latitude': 34.052187, 'longitude': -118.243425}, {'zip_code': '', 'city': 'Gothenburg', 'country_code': 'SWE', 'latitude': None, 'longitude': None}]",,Gothenburg,SWE,,
126,CTRL,other,"gaming, internet, video, web, tv",,"[{'zip_code': '1217 GP', 'city': 'Hilversum', 'country_code': 'NLD', 'latitude': None, 'longitude': None}]",1217 GP,Hilversum,NLD,,
127,Technicolor,games_video,,,"[{'zip_code': '90028', 'city': 'Hollywood', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",90028,Hollywood,USA,,
128,Digital Meld,web,"blog, tech, consumer-electronics, gadgets, gizmos, technology",,"[{'zip_code': '77036', 'city': 'Houston', 'country_code': 'USA', 'latitude': 29.714229, 'longitude': -95.527479}]",77036,Houston,USA,29.714229,-95.527479
129,Tech Profuse,ecommerce,"travel, www-vihari-in, e-commerce, air-tickets, google-apps-reseller, www-wesetup-net",,"[{'zip_code': '55117', 'city': 'Little Canada', 'country_code': 'USA', 'latitude': 45.0062594, 'longitude': -93.0914376}, {'zip_code': '500016', 'city': 'Hyderabad', 'country_code': 'IND', 'latitude': None, 'longitude': None}, {'zip_code': 'IG1 4LZ', 'city': 'Ilford Essex', 'country_code': 'GBR', 'latitude': None, 'longitude': None}]",IG1 4LZ,Ilford Essex,GBR,,
130,Bilende Technologies,software,"usability, software, web2-0, b2b, b2c, portal, rnd, lbs, mobile, start-up, design, consultancy",100000.0,"[{'zip_code': '34435', 'city': 'Istanbul', 'country_code': 'TUR', 'latitude': None, 'longitude': None}]",34435,Istanbul,TUR,,
131,JinkoSolar Holding,cleantech,"solar-products, monocrystalline-furnaces, silicon",35000000.0,"[{'zip_code': '', 'city': 'Jiangxi Province', 'country_code': 'CHN', 'latitude': None, 'longitude': None}, {'zip_code': '', 'city': 'Shanghai', 'country_code': 'CHN', 'latitude': None, 'longitude': None}]",,Shanghai,CHN,,
132,Alfabetic,advertising,"techcrunch50, tc50, translation, ad-network, machine-translation, syndication, blogs",,"[{'zip_code': '99803', 'city': 'Kibutz Tsorah', 'country_code': 'ISR', 'latitude': None, 'longitude': None}]",99803,Kibutz Tsorah,ISR,,
133,Alfabetic,advertising,"techcrunch50, tc50, translation, ad-network, machine-translation, syndication, blogs",,"[{'zip_code': '99803', 'city': 'Kibutz Tsorah', 'country_code': 'ISR', 'latitude': None, 'longitude': None}]",99803,Kibutz Tsorah,ISR,,
134,bgC3,other,"innovation, bill-gates, science, technology",,"[{'zip_code': '', 'city': 'Kirkland', 'country_code': 'USA', 'latitude': 47.6793, 'longitude': -122.176034}]",,Kirkland,USA,47.6793,-122.176034
135,Tingz,software,"techcrunch50, tc50, consumer, software, widgets",280000.0,"[{'zip_code': '37902', 'city': 'Knoxville', 'country_code': 'USA', 'latitude': 35.963029, 'longitude': -83.918392}]",37902,Knoxville,USA,35.963029,-83.918392
136,Tingz,software,"techcrunch50, tc50, consumer, software, widgets",280000.0,"[{'zip_code': '37902', 'city': 'Knoxville', 'country_code': 'USA', 'latitude': 35.963029, 'longitude': -83.918392}]",37902,Knoxville,USA,35.963029,-83.918392
137,iTOK,,,,"[{'zip_code': '84043', 'city': 'Lehi', 'country_code': 'USA', 'latitude': None, 'longitude': None}]",84043,Lehi,USA,,
138,Bubbles and Beyond,biotech,,2400000.0,"[{'zip_code': '04229', 'city': 'Leipzig', 'country_code': 'DEU', 'latitude': 51.3296737, 'longitude': 12.3274318}]",04229,Leipzig,DEU,51.3296737,12.3274318
